"Label (Grouping)","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error"
"        $1,000 to $1,499","61,771","±4,028","5.8%","±0.4"
"        $1,500 to $1,999","121,469","±5,163","11.3%","±0.5"
"        $2,000 to $2,499","158,191","±6,190","14.7%","±0.5"
"        $2,500 to $2,999","160,867","±6,416","15.0%","±0.6"
"        $3,000 or more","546,947","±11,486","50.9%","±0.8"
"        Median (dollars)","3,036","±29","(X)","(X)"
"    Housing units without a mortgage","493,561","±9,787","493,561","(X)"
"        Less than $250","14,977","±1,898","3.0%","±0.4"
"        $250 to $399","33,459","±3,003","6.8%","±0.6"
"        $400 to $599","84,039","±4,408","17.0%","±0.9"
"        $600 to $799","92,243","±4,253","18.7%","±0.8"
"        $800 to $999","76,305","±4,736","15.5%","±0.9"
"        $1,000 or more","192,538","±7,063","39.0%","±1.1"
"        Median (dollars)","854","±12","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","1,065,876","±13,825","1,065,876","(X)"
"        Less than 20.0 percent","351,224","±9,303","33.0%","±0.8"
"        20.0 to 24.9 percent","144,648","±5,218","13.6%","±0.5"
"        25.0 to 29.9 percent","112,603","±5,912","10.6%","±0.6"
"        30.0 to 34.9 percent","85,447","±4,922","8.0%","±0.5"
"        35.0 percent or more","371,954","±10,369","34.9%","±0.8"
"        Not computed","7,865","±1,578","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","485,098","±9,653","485,098","(X)"
"        Less than 10.0 percent","207,760","±6,903","42.8%","±1.0"
"        10.0 to 14.9 percent","86,603","±3,638","17.9%","±0.7"
"        15.0 to 19.9 percent","49,826","±3,316","10.3%","±0.7"
"        20.0 to 24.9 percent","30,229","±2,955","6.2%","±0.6"
"        25.0 to 29.9 percent","18,363","±1,776","3.8%","±0.4"
"        30.0 to 34.9 percent","13,816","±1,587","2.8%","±0.3"
"        35.0 percent or more","78,501","±4,901","16.2%","±1.0"
"        Not computed","8,463","±1,553","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","1,836,234","±15,403","1,836,234","(X)"
"        Less than $500","69,203","±4,497","3.8%","±0.2"
"        $500 to $999","124,892","±6,428","6.8%","±0.3"
"        $1,000 to $1,499","345,460","±10,815","18.8%","±0.6"
"        $1,500 to $1,999","478,428","±11,998","26.1%","±0.6"
"        $2,000 to $2,499","348,383","±10,739","19.0%","±0.6"
"        $2,500 to $2,999","197,913","±8,303","10.8%","±0.4"
"        $3,000 or more","271,955","±8,383","14.8%","±0.5"
"        Median (dollars)","1,896","±11","(X)","(X)"
"        No rent paid","46,934","±3,323","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,796,338","±15,652","1,796,338","(X)"
"        Less than 15.0 percent","168,075","±7,050","9.4%","±0.4"
"        15.0 to 19.9 percent","189,345","±8,844","10.5%","±0.5"
"        20.0 to 24.9 percent","206,715","±8,766","11.5%","±0.5"
"        25.0 to 29.9 percent","195,983","±9,227","10.9%","±0.5"
"        30.0 to 34.9 percent","171,403","±7,912","9.5%","±0.4"
"        35.0 percent or more","864,817","±13,421","48.1%","±0.7"
"        Not computed","86,830","±4,635","(X)","(X)"
