X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
6487882.57726394,1818381.00524694,72726,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Slauson Station,,,,,,,,,,,3306140,Blue Line,,,publish,33.98876485,-118.24341018,2023/04/04 16:19:54+00,,33.98876485,-118.24341018
6487923.84883495,1823534.0369356,72727,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Vernon Station,,,,,,,,,,,3306141,Blue Line,,,publish,34.00292485,-118.24331518,2023/04/04 16:19:54+00,,34.00292485,-118.24331518
6488004.94939452,1829622.24490352,72728,HSIP Freedom USPS_Mail_Collection_Boxes,2,Transportation,Metro Stations,,US Postal Service (USPS),Washington Station,1355 N Mentorave,,Pasadena,CA,,,,,,,3306142,Blue Line,91104,,publish,34.01965485,-118.24309618,2023/04/04 16:19:54+00,,34.01965485,-118.24309618
6484247.64358895,1832236.14748411,72729,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,San Pedro Street Station,,,,,,,,,,,3306143,Blue Line,,,publish,34.02681185,-118.25551719,2023/04/04 16:19:54+00,,34.02681185,-118.25551719
6480063.90490919,1834557.2412671,72730,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Grand / LATTC Station,,,,,,,,,,,3306144,Blue Line,,,publish,34.03315985,-118.26934519,2023/04/04 16:19:54+00,,34.03315985,-118.26934519
6481045.28942935,1837313.1491411,72731,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Pico Station,,,,,,,,,,,3306145,Blue/EXPO Line,,,publish,34.04073985,-118.26613019,2023/04/04 16:19:54+00,,34.04073985,-118.26613019
6483263.0126842,1840173.23495635,72732,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,7th St / Metro Center Station,,,,,,,,,,,3306146,Blue/EXPO Line,,,publish,34.04861486,-118.25883419,2023/04/04 16:19:54+00,,34.04861486,-118.25883419
6478766.17456503,1833089.41283794,72733,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,LATTC / Ortho Institute Station,,,,,,,,,,,3306147,EXPO Line,,,publish,34.02911685,-118.27361519,2023/04/04 16:19:54+00,,34.02911685,-118.27361519
6477391.11596344,1830549.74009576,72734,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Jefferson / USC Station,,,,,,,,,,,3306148,EXPO Line,,,publish,34.02212785,-118.27813019,2023/04/04 16:19:54+00,,34.02212785,-118.27813019
6475079.28495719,1829138.3859631,72735,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Expo Park / USC Station,,,,,,,,,,,3306149,EXPO Line,,,publish,34.01823185,-118.28574619,2023/04/04 16:19:54+00,,34.01823185,-118.28574619
6473319.88788544,1829149.98863019,72736,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Expo / Vermont Station,,,,,,,,,,,3306150,EXPO Line,,,publish,34.01824985,-118.29155219,2023/04/04 16:19:54+00,,34.01824985,-118.29155219
6468056.28489561,1829197.00723694,72737,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Expo / Western Station,,,,,,,,,,,3306151,EXPO Line,,,publish,34.01833585,-118.3089222,2023/04/04 16:19:54+00,,34.01833585,-118.3089222
6460131.59602061,1830749.04579952,72738,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Expo / Crenshaw Station,,,,,,,,,,,3306152,EXPO Line,,,publish,34.02253085,-118.3350902,2023/04/04 16:19:54+00,,34.02253085,-118.3350902
6456795.06955719,1831289.8580381,72739,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Farmdale Station,,,,,,,,,,,3306153,EXPO Line,,,publish,34.02398585,-118.3461072,2023/04/04 16:19:54+00,,34.02398585,-118.3461072
6454049.61966753,1831598.57887736,72740,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Expo / La Brea Station,,,,,,,,,,,3306154,EXPO Line,,,publish,34.02480785,-118.3551712,2023/04/04 16:19:54+00,,34.02480785,-118.3551712
6448912.36583444,1832181.97141135,72741,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,La Cienega / Jefferson Station,,,,,,,,,,,3306155,EXPO Line,,,publish,34.02635985,-118.37213221,2023/04/04 16:19:54+00,,34.02635985,-118.37213221
6443804.07519802,1832762.11624843,72742,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Culver City Station,,,,,,,,,,,3306156,EXPO Line,,,publish,34.02790085,-118.38899821,2023/04/04 16:19:54+00,,34.02790085,-118.38899821
6504112.27774411,1738275.23862152,72743,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,1st Street Station,,,,,,,,,,,3306157,Blue Line,,,publish,33.76874483,-118.18937416,2023/04/04 16:19:54+00,,33.76874483,-118.18937416
6504100.41228227,1740043.22983618,72744,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,5th Street Station,,,,,,,,,,,3306158,Blue Line,,,publish,33.77360283,-118.18942416,2023/04/04 16:19:54+00,,33.77360283,-118.18942416
6447685.80693586,1883917.60776927,72745,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,North Hollywood Station,,,,,,,,,,,3306159,Red Line,,,publish,34.16850886,-118.37682022,2023/04/04 16:19:54+00,,34.16850886,-118.37682022
6451916.20004986,1873529.57736427,72746,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Universal / Studio City Station,,,,,,,,,,,3306160,Red Line,,,publish,34.14000686,-118.36271121,2023/04/04 16:19:54+00,,34.14000686,-118.36271121
6459176.67699869,1859509.67791069,72747,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Hollywood / Highland Station,,,,,,,,,,,3306161,Red Line,,,publish,34.10155186,-118.33856121,2023/04/04 16:19:54+00,,34.10155186,-118.33856121
6463223.99928461,1859526.52072477,72748,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Hollywood / Vine Station,,,,,,,,,,,3306162,Red Line,,,publish,34.10163486,-118.3251922,2023/04/04 16:19:54+00,,34.10163486,-118.3251922
6468389.63265412,1859549.1873461,72749,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Hollywood / Western Station,,,,,,,,,,,3306163,Red Line,,,publish,34.10174186,-118.3081292,2023/04/04 16:19:54+00,,34.10174186,-118.3081292
6473338.36914769,1858068.18538685,72750,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Vermont / Sunset Station,,,,,,,,,,,3306164,Red Line,,,publish,34.09771286,-118.2917682,2023/04/04 16:19:54+00,,34.09771286,-118.2917682
6473338.00431903,1855230.33541952,72751,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Vermont / Santa Monica Station,,,,,,,,,,,3306165,Red Line,,,publish,34.08991486,-118.2917422,2023/04/04 16:19:54+00,,34.08991486,-118.2917422
6473337.19231278,1850359.62534468,72752,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Vermont / Beverly Station,,,,,,,,,,,3306166,Red Line,,,publish,34.07653086,-118.2916982,2023/04/04 16:19:54+00,,34.07653086,-118.2916982
6473808.40068795,1845327.05765393,72753,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Wilshire / Vermont Station,,,,,,,,,,,3306167,Red/Purple Line,,,publish,34.06270585,-118.2900942,2023/04/04 16:19:54+00,,34.06270585,-118.2900942
6478406.67823678,1843009.42482202,72754,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Westlake / MacArthur Park Station,,,,,,,,,,,3306168,Red/Purple Line,,,publish,34.05637286,-118.27489119,2023/04/04 16:19:54+00,,34.05637286,-118.27489119
6483305.44435786,1840181.85961102,72755,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,7th St / Metro Center Station,,,,,,,,,,,3306169,Red/Purple Line,,,publish,34.04863885,-118.25869419,2023/04/04 16:19:54+00,,34.04863885,-118.25869419
6485554.67181477,1840424.34829926,72756,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Pershing Square Station,,,,,,,,,,,3306170,Red/Purple Line,,,publish,34.04932086,-118.25127119,2023/04/04 16:19:54+00,,34.04932086,-118.25127119
6487135.4455561,1842452.57029268,72757,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Civic Center / Grand Park Station,,,,,,,,,,,3306171,Red/Purple Line,,,publish,34.05490486,-118.24606919,2023/04/04 16:19:54+00,,34.05490486,-118.24606919
6490713.20874177,1842916.02737102,72758,Metropolitan Transportation Authority (MTA),1054069001,Transportation,Metro Stations,,LA County,Union Station,800 N. Alameda St.,,Los Angeles,CA,"Monday through Thursday, 9:00a to 7:00pm; Friday, 9:00am to 5:30pm; first and fourth Saturday of the month, 9:00am to 3:00pm.",(800) USA-RAIL / Amtrak Service/Intake (800) 872-7245,,http://www.metrolinktrains.com/stations/detail.php?id=131,,,3306172,Red/Purple Line,90012,,publish,34.05620186,-118.23426119,2023/04/04 16:19:54+00,,34.05620186,-118.23426119
6470361.8829747,1844992.20202443,72759,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Wilshire / Normandie Station,,,,,,,,,,,3306173,Purple Line,,,publish,34.06175785,-118.3014702,2023/04/04 16:19:54+00,,34.06175785,-118.3014702
6468151.41954786,1844975.62069277,72760,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Wilshire / Western Station,,,,,,,,,,,3306174,Purple Line,,,publish,34.06169385,-118.3087682,2023/04/04 16:19:54+00,,34.06169385,-118.3087682
6449622.28928337,1784245.08959502,72761,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Redondo Beach Station,,,,,,,,,,,3306175,Green Line,,,publish,33.89464483,-118.3692082,2023/04/04 16:19:54+00,,33.89464483,-118.3692082
6445413.53359328,1788139.9266216,72762,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Douglas Station,,,,,,,,,,,3306176,Green Line,,,publish,33.90530383,-118.3831252,2023/04/04 16:19:54+00,,33.90530383,-118.3831252
6444389.00545861,1792061.14581327,72763,HSIP Freedom Gnis_cultural_fe,241925,Transportation,Metro Stations,,US Geological Survey (USGS),El Segundo Station,,,,,,,,,,,3306177,Green Line,,,publish,33.91606783,-118.3865512,2023/04/04 16:19:54+00,,33.91606783,-118.3865512
6444085.60481869,1794659.65013069,72764,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Mariposa Station,,,,,,,,,,,3306178,Green Line,,,publish,33.92320483,-118.3875842,2023/04/04 16:19:54+00,,33.92320483,-118.3875842
6447261.02300853,1796984.33478577,72765,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Aviation / LAX Station,,,,,,,,,,,3306179,Green Line,,,publish,33.92962583,-118.3771462,2023/04/04 16:19:54+00,,33.92962583,-118.3771462
6455011.08165535,1798334.42427719,72766,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Hawthorne / Lennox Station,,,,,,,,,,,3306180,Green Line,,,publish,33.93341284,-118.3516142,2023/04/04 16:19:54+00,,33.93341284,-118.3516142
6462600.6698226,1795322.0933596,72767,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Crenshaw Station,,,,,,,,,,,3306181,Green Line,,,publish,33.92520584,-118.32656219,2023/04/04 16:19:54+00,,33.92520584,-118.32656219
6473166.80551444,1796556.78117894,72768,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Vermont / Athens Station,,,,,,,,,,,3306182,Green Line,,,publish,33.92868784,-118.29174518,2023/04/04 16:19:54+00,,33.92868784,-118.29174518
6476392.44571669,1796558.87172593,72769,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Harbor Freeway Station,,,,,,,,,,,3306183,Green Line,,,publish,33.92871884,-118.28111218,2023/04/04 16:19:54+00,,33.92871884,-118.28111218
6481209.48627944,1796091.24011527,72770,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Avalon Station,,,,,,,,,,,3306184,Green Line,,,publish,33.92746984,-118.26522918,2023/04/04 16:19:54+00,,33.92746984,-118.26522918
6489451.02524252,1796359.1995531,72771,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Willowbrook - Rosa Parks Station,,,,,,,,,,,3306185,Green Line,,,publish,33.92826284,-118.23806418,2023/04/04 16:19:54+00,,33.92826284,-118.23806418
6497975.00589794,1795110.87068494,72772,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Long Beach Blvd Station,,,,,,,,,,,3306186,Green Line,,,publish,33.92488484,-118.20995717,2023/04/04 16:19:54+00,,33.92488484,-118.20995717
6519006.38312644,1790776.26354052,72773,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Lakewood Blvd Station,,,,,,,,,,,3306187,Green Line,,,publish,33.91307485,-118.14061216,2023/04/04 16:19:54+00,,33.91307485,-118.14061216
6529894.21830611,1791113.43543835,72774,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Norwalk Station,,,,,,,,,,,3306188,Green Line,,,publish,33.91403785,-118.10472915,2023/04/04 16:19:54+00,,33.91403785,-118.10472915
6514865.60433452,1834572.30783802,72775,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Atlantic Station,,,,,,,,,,,3306189,Gold Line,,,publish,34.03340286,-118.15448117,2023/04/04 16:19:54+00,,34.03340286,-118.15448117
6512824.40795761,1834563.13987735,72776,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,East LA Civic Center Station,,,,,,,,,,,3306190,Gold Line,,,publish,34.03336886,-118.16121817,2023/04/04 16:19:54+00,,34.03336886,-118.16121817
6510723.5164901,1834550.20519194,72777,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Maravilla Station,,,,,,,,,,,3306191,Gold Line,,,publish,34.03332386,-118.16815217,2023/04/04 16:19:54+00,,34.03332386,-118.16815217
6503439.94870819,1834920.26580352,72778,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Indiana Station,,,,,,,,,,,3306192,Gold Line,,,publish,34.03430486,-118.19219418,2023/04/04 16:19:54+00,,34.03430486,-118.19219418
6498030.21608935,1838369.0466356,72779,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Soto Station,,,,,,,,,,,3306193,Gold Line,,,publish,34.04375186,-118.21007318,2023/04/04 16:19:54+00,,34.04375186,-118.21007318
6495128.66644627,1839637.32461086,72780,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Mariachi Plaza / Boyle Heights Station,,,,,,,,,,,3306194,Gold Line,,,publish,34.04721986,-118.21966018,2023/04/04 16:19:54+00,,34.04721986,-118.21966018
6493222.97603194,1839794.03131844,72781,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Pico / Aliso Station,,,,,,,,,,,3306195,Gold Line,,,publish,34.04763886,-118.22595218,2023/04/04 16:19:54+00,,34.04763886,-118.22595218
6489601.77756569,1840699.81461185,72782,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Little Tokyo / Arts District Station,,,,,,,,,,,3306196,Gold Line,,,publish,34.05010486,-118.23791319,2023/04/04 16:19:54+00,,34.05010486,-118.23791319
6490558.61587511,1842866.89492336,72783,Metropolitan Transportation Authority (MTA),1054069001,Transportation,Metro Stations,,LA County,Union Station,800 N. Alameda St.,,Los Angeles,CA,"Monday through Thursday, 9:00a to 7:00pm; Friday, 9:00am to 5:30pm; first and fourth Saturday of the month, 9:00am to 3:00pm.",(800) USA-RAIL / Amtrak Service/Intake (800) 872-7245,,http://www.metrolinktrains.com/stations/detail.php?id=131,,,3306197,Gold Line,90012,,publish,34.05606586,-118.23477119,2023/04/04 16:19:54+00,,34.05606586,-118.23477119
6490237.84355077,1845706.22454652,72784,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Chinatown Station,,,,,,,,,,,3306198,Gold Line,,,publish,34.06386586,-118.23585219,2023/04/04 16:19:54+00,,34.06386586,-118.23585219
6494919.00019895,1851914.26659235,72785,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Lincoln Heights / Cypress Park Station,,,,,,,,,,,3306199,Gold Line,,,publish,34.08095386,-118.22044119,2023/04/04 16:19:54+00,,34.08095386,-118.22044119
6497108.90559603,1854194.23152061,72786,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Heritage Square / Arroyo Station,,,,,,,,,,,3306200,Gold Line,,,publish,34.08723186,-118.21322519,2023/04/04 16:19:54+00,,34.08723186,-118.21322519
6499085.55420178,1858199.04175244,72787,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Southwest Museum Station,,,,,,,,,,,3306201,Gold Line,,,publish,34.09824786,-118.20672419,2023/04/04 16:19:54+00,,34.09824786,-118.20672419
6503365.09649569,1862898.20295776,72788,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Highland Park Station,,,,,,,,,,,3306202,Gold Line,,,publish,34.11118387,-118.19261818,2023/04/04 16:19:54+00,,34.11118387,-118.19261818
6513877.0735032,1864338.10001235,72789,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,South Pasadena Station,,,,,,,,,,,3306203,Gold Line,,,publish,34.11519087,-118.15789818,2023/04/04 16:19:54+00,,34.11519087,-118.15789818
6516841.10169587,1871006.04172893,72790,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Fillmore Station,,,,,,,,,,,3306204,Gold Line,,,publish,34.13352587,-118.14813818,2023/04/04 16:19:54+00,,34.13352587,-118.14813818
6516818.97280312,1874058.9890351,72791,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Del Mar Station,,,,,,,,,,,3306205,Gold Line,,,publish,34.14191487,-118.14822618,2023/04/04 16:19:54+00,,34.14191487,-118.14822618
6517034.83162336,1876404.49189001,72792,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Memorial Park Station,,,,,,,,,,,3306206,Gold Line,,,publish,34.14836087,-118.14752418,2023/04/04 16:19:54+00,,34.14836087,-118.14752418
6521914.40815027,1877653.24136102,72793,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Lake Station,,,,,,,,,,,3306207,Gold Line,,,publish,34.15181087,-118.13140218,2023/04/04 16:19:54+00,,34.15181087,-118.13140218
6527070.74363811,1877869.29276618,72794,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Allen Station,,,,,,,,,,,3306208,Gold Line,,,publish,34.15242187,-118.11436017,2023/04/04 16:19:54+00,,34.15242187,-118.11436017
6537094.64747478,1876161.86212593,72795,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Sierra Madre Villa Station,,,,,,,,,,,3306209,Gold Line,,,publish,34.14775688,-118.08122417,2023/04/04 16:19:54+00,,34.14775688,-118.08122417
6439179.68746519,1833299.6807901,72796,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Palms Station,,,,,,,,,,,3306210,EXPO Line,,,publish,34.02932784,-118.40426721,2023/04/04 16:19:54+00,,34.02932784,-118.40426721
6433034.09312911,1836051.89313343,72797,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Westwood / Rancho Park Station,,,,,,,,,,,3306211,EXPO Line,,,publish,34.03682084,-118.42458822,2023/04/04 16:19:54+00,,34.03682084,-118.42458822
6430105.84111162,1835551.99879202,72798,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Expo / Sepulveda Station,,,,,,,,,,,3306212,EXPO Line,,,publish,34.03541284,-118.43424622,2023/04/04 16:19:54+00,,34.03541284,-118.43424622
6424445.73989902,1834229.36790711,72799,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Expo / Bundy Station,,,,,,,,,,,3306213,EXPO Line,,,publish,34.03170984,-118.45290822,2023/04/04 16:19:54+00,,34.03170984,-118.45290822
6419523.83668511,1832901.78460427,72800,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,26th St / Bergamot Station,,,,,,,,,,,3306214,EXPO Line,,,publish,34.02799984,-118.46913222,2023/04/04 16:19:54+00,,34.02799984,-118.46913222
6416106.10139461,1831156.53448585,72801,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,17th St / SMC Station,,,,,,,,,,,3306215,EXPO Line,,,publish,34.02315984,-118.48038422,2023/04/04 16:19:54+00,,34.02315984,-118.48038422
6412753.04248394,1827844.65397052,72802,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Downtown Santa Monica Station,,,,,,,,,,,3306216,EXPO Line,,,publish,34.01401484,-118.49139623,2023/04/04 16:19:54+00,,34.01401484,-118.49139623
6552831.51363878,1874372.93033636,72803,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Arcadia Station,,,,,,,,,,,3306217,Gold Line,,,publish,34.14286488,-118.02921116,2023/04/04 16:19:54+00,,34.14286488,-118.02921116
6560615.66998644,1870839.83733694,72804,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Monrovia Station,,,,,,,,,,,3306218,Gold Line,,,publish,34.13315988,-118.00348515,2023/04/04 16:19:54+00,,34.13315988,-118.00348515
6571447.39504211,1870609.57565835,72805,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Duarte / City of Hope Station,,,,,,,,,,,3306219,Gold Line,,,publish,34.13252288,-117.96769215,2023/04/04 16:19:54+00,,34.13252288,-117.96769215
6582092.65163869,1869352.06373769,72806,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Irwindale Station,,,,,,,,,,,3306220,Gold Line,,,publish,34.12905288,-117.93251814,2023/04/04 16:19:54+00,,34.12905288,-117.93251814
6589921.00310794,1871838.43278068,72807,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Azusa Downtown Station,,,,,,,,,,,3306221,Gold Line,,,publish,34.13586788,-117.90664314,2023/04/04 16:19:54+00,,34.13586788,-117.90664314
6594458.25617252,1872189.07249935,72808,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,APU / Citrus College Station,,,,,,,,,,,3306222,Gold Line,,,publish,34.13681889,-117.89164813,2023/04/04 16:19:54+00,,34.13681889,-117.89164813
6379777.89189894,1888992.13403752,72809,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Warner Center Metro Station,6101 1/2 Owensmouth Ave,,Canoga Park,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,3306223,Orange Line,91367,,publish,34.18154485,-118.60141226,2023/04/04 16:19:54+00,,34.18154485,-118.60141226
6381164.40684244,1892266.46935235,72810,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Canoga Metro Station East-West,,,,,,,,,,,3306224,Orange Line,,,publish,34.19056485,-118.59689226,2023/04/04 16:19:54+00,,34.19056485,-118.59689226
6383637.16994153,1891578.62591177,72811,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),De Soto Metro Station,20901 Victory Blvd,,Woodland Hills,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,3306225,Orange Line,91367,,publish,34.18871485,-118.58870226,2023/04/04 16:19:54+00,,34.18871485,-118.58870226
6389119.32826853,1890910.14594951,72812,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Pierce College Metro Station,6425 Winnetka Ave,,Woodland Hills,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,3306226,Orange Line,91367,,publish,34.18696485,-118.57056225,2023/04/04 16:19:54+00,,34.18696485,-118.57056225
